todo_id,user_id,task,description,category_id,start_time,end_time,completed,appointment
1,8,Dev sprint standup,Meeting,1,2022-10-31 07:00,2022-10-31 07:45,TRUE,FALSE
2,8,Mentor check-in,Meeting,1,2022-10-31 14:00,2022-10-31 14:30,TRUE,FALSE
3,8,Evening debreif,Meeting,1,2022-10-10 09:00,2022-10-10 09:30,FALSE,FALSE
4,8,Car dealership,Shop,2,2022-10-20 10:00,2022-10-20 11:30,TRUE,FALSE
5,8,Halloween costume shopping,Shop,2,2022-10-31 10:00,2022-10-31 10:30,TRUE,FALSE
6,8,Milly Bday gift,Shop,2,2022-10-31 16:00,2022-10-31 16:30,FALSE,FALSE
7,8,Car wash,Misc,3,2022-10-24 11:00,2022-10-24 11:10,TRUE,FALSE
8,8,Oil Change,Misc,3,2022-10-31 12:00,2022-10-31 12:30,TRUE,FALSE
9,8,Physiotherapy apt,Health,3,2022-10-24 15:00,2022-10-24 15:30,FALSE,FALSE
10,8,Sept Grocery,Shop,2,2022-10-01 12:00,2022-10-01 13:00,TRUE,FALSE
11,8,Oct biweekly Grocery,Shop,2,2022-10-31 12:00,2022-10-31 13:30,TRUE,FALSE
12,8,Yin yoga ,Workout,4,2022-10-31 07:00,2022-10-31 08:00,TRUE,FALSE
13,8,Morning jog,Workout,4,2022-10-31 11:00,2022-10-31 11:30,TRUE,FALSE
